
    Report as of  Tue Dec  2 19:54:19 UTC 2014

Active during last year
=======================
Adrian Sacchi
Alexander Gurov
Alexander Nyssen
Alex Lagarde
Alex Panchenko
Andreas Sewe
Anthony Hunter
Ben Gamble
Benoit Langlois
Beth Tibbitts
Camille Letavernier
Carl Anderson
Carsten Reckord
Cedric Brun
Christian Campo
Christian Saad
David Williams
Dawid Pakula
Dennis Huebner
Doug Schaefer
Edgar Mueller
Ed Willink
Eike Stepper
Fred Bricon
Goulwen Le Fur
Gregoire Dupe
Greg Watson
Gunnar Wagenknecht
Igor Fedorenko
Jacek Pospychela
Jeff Johnston
Johannes Faltermeier
Judith Gull
Julio C. Chavez
Kaloyan Raev
Ken Lee
Kenn Hussey
Kentarou Fukuda
Konstantin Komissarchik
Krum Tsvetkov
Laurent Goubet
Linda Chan
Marc-Andre Laperle
Marcel Bruch
Marc Khouzam
Mark R Russell
Markus Knauer
Markus Tiede
Martin Oberhuber
Marvin Mueller
Matthias Sohn
Michael Golubev
Michael Wenz
Mickael Istria
Olivier Constant
Pierre-Charles David
Robert Brodt
Sam Davis
Scott Lewis
Sergey Boyko
Simon Bernard
Simone Seurer
Steffen Pingel
Stephan Eberle
Stephan Herrmann
Sven Rottstock
Tomasz Zarna
Tom Schindl
Vincent Lorenzo
William Piers
Xiaoying Gu
Yuxuan Dai
Yves YANG
Zhiqiang Qian

Inactive during last year
=========================
Adolfo Sanchez-Barbudo Herrera
Ahmed Samir Wafa
Benjamin Cabe
Borislav Kapukaranov
David Dykstal
Eric Gwin
hstaudacher
Idrissa Dieng
Manuel Bork
Matthieu Helleboid
Mickael Barbero
Miles Parker
Ralf Sternberg
Remi Schnekenburger
Sabine Achilles
Stephan Born
Stephane Begaudeau
Vincent Zurczak
vl222926
Wayne Beaton
Yong Jiang
Zeb Ford-Reitz
